#,Àlies,Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,de crèdits disponibles,de crèdits disp. a nivell de vinculació,de crèdits retinguts pendents d'ús,de despeses autoritzades,de despeses compromeses,d'obligacions reconegudes,Disponible de Remanentes por aplicación,Disponible de Remanentes por aplicación
,,SP2,3300.0,2120001.0,REP.MANT.EDIFICIS.- CULTURA,2000.0,,2000.0,107.39,1892.61,6435.62,,,,,,
,,SP3,3400.0,2120001.0,REP.MANT.EDIFICIS.- ESPORTS,3000.0,,3000.0,740.16,2259.84,28.23,,,,,,
,,CM1,1650.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- ENLLUM. PUB.,18000.0,,18000.0,17151.11,848.89,30073.13,,,,,,
,,CM1,1710.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- PARCS I JARD.,4000.0,,4000.0,3412.78,587.22,30073.13,,,,,,
,,CM1,4302.0,2130001.0,"MAQUINARIA, INSTAL.LACIONS I ESTRIS.- PEIXATERIA",,,,,,2989.79,,,,,,
,,CM2,1511.0,2130001.0,"MAQUINARIA, INSTAL.LACIONS I ESTRIS,. URBANISME",3000.0,,3000.0,650.94,2349.06,30073.13,,,,,,
,,SG1,9120.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- ORG. GOVERN,2000.0,,2000.0,1573.71,426.29,9325.45,,,,,,
,,SG3,9203.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- CONTRACTACIÓ,300.0,,300.0,,300.0,9325.45,,,,,,
,,SG4,9311.0,2130001.0,"MAQUINARIA, INSTAL.LACIONS.- SERV. ECONÒMICS",1000.0,,1000.0,,1000.0,9325.45,,,,,,
,,SG5,1300.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- POLICIA,9000.0,,9000.0,8190.9,809.1,27632.86,,,,,,
,,SP1,2304.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.-ATEN. PRIMÀRIA,500.0,,500.0,714.62,-214.62,82631.21,,,,,,
,,SP1,2410.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- FOR OCUPACIO,300.0,,300.0,478.61,-178.61,82631.21,,,,,,
,,SP1,3120.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- R.G.A,12000.0,,12000.0,21570.93,-9570.93,1610.52,,,,,,
,,SP2,3210.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- EDUCACIO,20000.0,,20000.0,35113.65,-15113.65,6435.62,,,,379.07,,
,,SP2,3300.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- SM CULTURA SC,3000.0,,3000.0,5232.1,-2232.1,6435.62,,,,,,
,,SP2,3323.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- ARXIU,500.0,,500.0,178.05,321.95,6435.62,,,,,,
,,SP3,3400.0,2130001.0,REP.MANT.MAQ.INSTAL.UTIL.- ESPORTS,20000.0,,20000.0,36110.99,-16110.99,28.23,,,,,,
,,CM1,1695.0,2140001.0,REP.MANT.VEHICLES.-  BRIGADA OBRES,7000.0,,7000.0,24139.37,-17139.37,30073.13,,,,44.36,,
,,SG5,1300.0,2140001.0,REP.MANT.VEHICLES.- POLICIA,17000.0,,17000.0,15868.31,1131.69,27632.86,,,,,,
,,SP1,3120.0,2140001.0,REP.MANT.VEHICLES.- R.G.A,700.0,,700.0,1421.77,-721.77,1610.52,,,,,,
,,SP2,3210.0,2140001.0,REPARACIÓ DE VEHICLES.- EDUCACIÓ,400.0,,400.0,103.48,296.52,6435.62,,,,,,
,,SG2,9206.0,2160001.0,REP.MANT.EQUIPS INFORMATICS.,5000.0,,5000.0,4944.83,55.17,9325.45,,,,,,
,,SG1,9120.0,2200001.0,MAT. OFICINA ORDINARI.- ORG. GOVERN,100.0,,100.0,536.84,-436.84,9325.45,,,,,,
,,SG2,9200.0,2200001.0,MAT. OFICINA ORDINARI.- OAC,500.0,,500.0,174.51,325.49,9325.45,,,,,,
,,SG3,9202.0,2200001.0,MAT. OFICINA ORDINARI.- SERV. JURIDICS,250.0,,250.0,1231.78,-981.78,9325.45,,,,,,
,,SG4,9311.0,2200001.0,MAT. OFICINA ORDINARI.- GESTIÓ PRES.,15000.0,,15000.0,19168.57,-4168.57,9325.45,,,,,,
,,SP1,2304.0,2200001.0,MAT. OFICINA ORDINARI.- ATENCIÓ PRIMARIA,700.0,,700.0,418.79,281.21,82631.21,,,,,,
,,SP1,3120.0,2200001.0,MAT. OFICINA ORDINARI.- RGA,200.0,,200.0,642.76,-442.76,1610.52,,,,,,
,,SP3,3400.0,2200001.0,MAT. OFICINA ORDINARI.- ESPORTS,200.0,,200.0,171.55,28.45,28.23,,,,,,
,,SG1,9120.0,2200101.0,"PREMSA,  LLIBRES, SUBSCRIP.- ORG. GOVERN",700.0,,700.0,2485.9,-1785.9,9325.45,,,,,,
,,SG3,9202.0,2200101.0,"PREMSA,  LLIBRES, SUBSCRIP.- SECRETARIA",1500.0,,1500.0,804.43,695.57,9325.45,,,,,,
,,SG4,9311.0,2200101.0,"PREMSA, LLIBRES, SUBSCRIP..- G. PRES.",500.0,,500.0,192.0,308.0,9325.45,,,,,,
,,SP2,3323.0,2200101.0,"PREMSA, LLIBRES, SUBSCRIPCIONS- ARXIU",700.0,,700.0,404.55,295.45,6435.62,,,,,,
,,SG4,9311.0,2200201.0,MAT.INFORMÀTIC CONSUM. - GESTIÓ PRES.,3000.0,,3000.0,1991.01,1008.99,9325.45,,,,,,
,,CM1,1650.0,2210001.0,ENERGIA ELECTRICA.-ENLLUMENAT PUBLIC I EDIFICIS MPALS.,785000.0,,785000.0,827896.23,-42896.23,30073.13,,,,,,
,,SP2,3210.0,2210101.0,SUBMINISTRAMENT D'AIGUA.- EDUCACIÓ,1400.0,,1400.0,2137.76,-737.76,6435.62,,,,,,
,,CM1,1695.0,2210301.0,COMBUSTIBLE I CARBURANTS.-  BRIGADA OBRES,13000.0,,13000.0,35400.84,-22400.84,30073.13,,,,,,
,,CM1,4302.0,2210301.0,COMBUSTIBLES I CARB.- PEIXATERIA,3000.0,,3000.0,,3000.0,2989.79,,,,,,
,,SG5,1300.0,2210301.0,COMBUSTIBLE I CARBURANTS.- POLICIA,24000.0,,24000.0,29130.73,-5130.73,27632.86,,,,,,
,,SP1,3120.0,2210301.0,COMBUSTIBLE I CARBURANTS.- R.G.A,40000.0,,40000.0,39891.89,108.11,1610.52,,,,,,
,,SP1,3131.0,2210301.0,COMBUSTIBLE I CARBURANTS.- LLACER,500.0,,500.0,325.35,174.65,1610.52,,,,,,
,,SP2,3210.0,2210301.0,COMBUSTIBLE I CARBURANTS.-EDUCACIO,50000.0,,50000.0,62157.11,-12157.11,6435.62,,,,1480.18,,
,,SP2,3390.0,2210301.0,"COMBUSTIBLES I CARB.- SM CULTURA, SERVEIS COMUNS",300.0,,300.0,,300.0,6435.62,,,,,,
,,SP3,3400.0,2210301.0,COMBUSTIBLE I CARBURANTS.-ESPORTS,65000.0,,65000.0,49099.35,15900.65,28.23,,,,,,
,,CM1,1695.0,2210401.0,VESTUARI. -  BRIGADA OBRES,5000.0,,5000.0,10015.92,-5015.92,30073.13,,,,,,
,,SG5,1300.0,2210401.0,VESTUARI.-POLICIA,37000.0,,37000.0,45467.66,-8467.66,27632.86,,,,,,
,,SP1,2304.0,2210401.0,"VESTUARI,-ATENCIÓ PRIMÀRIA",114.0,,114.0,114.0,,82631.21,,,,,,
,,SP1,3120.0,2210401.0,"VESTUARI,-R.G.A",2000.0,,2000.0,1023.83,976.17,1610.52,,,,,,
,,SP2,3210.0,2210401.0,VESTUARI.- EDUCACIÓ,200.0,,200.0,234.82,-34.82,6435.62,,,,,,
,,SP1,3120.0,2210501.0,PRODUCTES ALIMENTICIS.-RGA,158000.0,,158000.0,116654.24,41345.76,1610.52,,,,,,
,,SP1,3120.0,2210601.0,PRODUCTES FARMACÈUTICS.-R.G.A,2500.0,,2500.0,2109.7,390.3,1610.52,,,,,,
,,SP3,3400.0,2210601.0,PRODUCTES FARMACÈUTICS.-ESPORTS,200.0,,200.0,83.62,116.38,28.23,,,,,,
,,CM3,1512.0,2210901.0,PRODUCTES VARIS.- PROJECTES,200.0,,200.0,,200.0,30073.13,,,,,,
,,SG2,9206.0,2210901.0,PRODUCTES VARIS.-  INFORMATICA,4000.0,,4000.0,4683.28,-683.28,9325.45,,,,,,
,,SG4,9311.0,2210901.0,PRODUCTES VARIS.- GESTIÓ PRES.,3000.0,,3000.0,1246.57,1753.43,9325.45,,,,,,
,,SG5,1300.0,2210901.0,PRODUCTES VARIS.-  POLICIA,11000.0,,11000.0,16291.58,-5291.58,27632.86,,,,,,
,,SP1,3120.0,2210901.0,PRODUCTES VARIS.- R.G.A,6000.0,,6000.0,4191.07,1808.93,1610.52,,,,,,
,,SP3,3400.0,2210901.0,PRODUCTES VARIS.- ESPORTS,3000.0,,3000.0,4772.42,-1772.42,28.23,,,,,,
,,CM1,4302.0,2211001.0,PRODUCTES HIGIENE.- PEIXATERIA,300.0,,300.0,244.13,55.87,2989.79,,,,,,
,,CM3,4302.0,2211001.0,PRODUCTES HIGIENE,,,,,,,,,,,,
,,SG4,4302.0,2211001.0,PRODUCTES HIGIENE,,,,,,,,,,,,
,,SP1,3120.0,2211001.0,PRODUCTES DE HIGIENE.-R.G.A,12000.0,,12000.0,15286.59,-3286.59,1610.52,,,,,,
,,SG2,9206.0,2220001.0,COMUNICACIONS TELEFÒNIQUES.,80000.0,,80000.0,74413.69,5586.31,9325.45,,,,,,
,,SG4,9324.0,2220101.0,COM. POSTALS (SEGELLS).- G. FINANCERA,90000.0,,90000.0,97322.01,-7322.01,9325.45,,,,,,
,,CM1,1695.0,2240001.0,ASSEGURANCES.- BRIGADA D'OBRES,,,,1007.97,-1007.97,30073.13,,,,,,
,,CM3,1512.0,2240001.0,ASSEGURANCES,,,,603.92,-603.92,30073.13,,,,,,
,,SG3,9202.0,2240001.0,ASSEGURANCES.-SECRETARIA,42000.0,,42000.0,37683.25,4316.75,9325.45,,,,,,
,,SG5,1300.0,2240001.0,ASSEGURANCES.-POLICIA,8000.0,,8000.0,6596.05,1403.95,27632.86,,,,,,
,,SP1,3120.0,2240001.0,ASSEGURANCES.-R.G.A,4000.0,,4000.0,6079.12,-2079.12,1610.52,,,,,,
,,SP2,3210.0,2240001.0,ASSEGURANCES. VEHICLES EDUCACIÓ,300.0,,300.0,300.0,,6435.62,,,,,,
,,SP2,3380.0,2240001.0,ASSEGURANCES.-FESTES,6000.0,,6000.0,5724.63,275.37,6435.62,,,,,,
,,CM1,1610.0,2250001.0,TRIBUTS.- AIGUA I SANEJAMENT,12000.0,,12000.0,25532.37,-13532.37,30073.13,,,,,,
,,CM1,1610.0,2260001.0,CONCESSIONS ADMINISTRATIVES.-AIGUA,15000.0,,15000.0,12284.45,2715.55,30073.13,,,,,,
,,SG1,9120.0,2260101.0,ATENCIONS REPRESENTATIVES.- ORG. GOV.,24000.0,,24000.0,9460.68,14539.32,9325.45,,,,,,
,,CM1,1720.0,2260201.0,PUBLICITAT I PROPAGANDA.- MEDI AMBIENT,2000.0,,2000.0,3296.82,-1296.82,30073.13,,,,,,
,,CM2,1511.0,2260201.0,PUBLICITAT I PROPAGANDA.-  URBANISME,2000.0,,2000.0,3886.38,-1886.38,30073.13,,,,,,
,,SG1,9270.0,2260201.0,PUBLICITAT I PROPAGANDA.-COMUNICACIO,35000.0,,35000.0,11474.43,23525.57,9325.45,,,,,,
,,SG2,9200.0,2260201.0,PUBLICITAT I PROPAGANDA.- OAC,1000.0,,1000.0,,1000.0,9325.45,,,,,,
,,SG2,9206.0,2260201.0,PUBLICITAT I PROPAGANDA,,,,,,,,,,,,
,,SG3,4930.0,2260201.0,PUBLICITAT I PROPAGANDA.-CONSUM,1000.0,,1000.0,,1000.0,4678.1,,,,,,
,,SG3,9202.0,2260201.0,PUBLICITAT I PROPAGANDA.- SECRETARIA,300.0,,300.0,,300.0,9325.45,,,,,,
,,SG3,9203.0,2260201.0,PUBLICITAT I PROPAGANDA.-CONTRACTACIO,2500.0,,2500.0,3338.48,-838.48,9325.45,,,,,,
,,SG4,4301.0,2260201.0,PUBLICITAT I PROPAGANDA,,,,,,4678.1,,,,,,
,,SG6,4301.0,2260201.0,PUBLICITAT I PROPAGANDA.- COMERÇ,4000.0,,4000.0,2931.18,1068.82,286.78,,,,,,
,,SG7,4304.0,2260201.0,PUBLICITAT I PROPAGANDA.- TURISME,6000.0,,6000.0,3565.85,2434.15,1854.67,,,,,,
,,SP1,2304.0,2260201.0,PUBLICITAT I PROPAGANDA.-  ATE.PRIMÀRIA,350.0,,350.0,350.0,,82631.21,,,,,,
,,SP1,2410.0,2260201.0,PUBLICITAT I PROPAGANDA.- FORMACIÓ,1000.0,,1000.0,,1000.0,82631.21,,,,,,
,,SP1,3130.0,2260201.0,PUBLICITAT I PROPAGANDA.- SANITAT,300.0,,300.0,,300.0,1610.52,,,,,,
,,SP1,3370.0,2260201.0,PUBLICITAT I PROPAGANDA.-JOVENTUT,500.0,,500.0,259.67,240.33,1610.52,,,,,,
,,SP2,3210.0,2260201.0,PUBLICITAT I PROPAGANDA.- EDUCACIO,300.0,,300.0,,300.0,6435.62,,,,,,
,,SP2,3233.0,2260201.0,PUBLICITAT I PROPAGANDA.- ESC.MUNICIPALS,300.0,,300.0,,300.0,6435.62,,,,,,
,,SP2,3323.0,2260201.0,PUBLICITAT I PROPAGANDA.- ARXIU,1000.0,,1000.0,1813.98,-813.98,6435.62,,,,,,
,,SP2,3344.0,2260201.0,PUBLICITAT I PROPAGANDA.- PROMO. CULT.,7200.0,,7200.0,3242.01,3957.99,6435.62,,,,,,
,,SP2,3380.0,2260201.0,PUBLICITAT I PROPAGANDA.- FESTES,7000.0,,7000.0,7117.61,-117.61,6435.62,,,,,,
,,CM2,1511.0,2260401.0,DESPESES JURÍDIQUES.-URBANISME,3000.0,,3000.0,2546.44,453.56,30073.13,,,,,,
,,SG3,9202.0,2260401.0,DESPESES JURIDIQUES.- SECRETARIA,8000.0,,8000.0,4132.99,3867.01,9325.45,,,,,,
,,SG1,9120.0,2260902.0,DESPESES DIVERSES.- ORG. GOVERN UIMIR,,,,,,9325.45,,,,,,
,,CM1,1620.0,2269901.0,ALTRES DESPESES VARIES.-RSU,4000.0,,4000.0,5404.69,-1404.69,30073.13,,,,,,
,,CM1,1695.0,2269901.0,ALTRES DESPESES VÀRIES.- BRIGADA D'OBRES,4000.0,,4000.0,12165.63,-8165.63,30073.13,,,,,,
,,CM1,1720.0,2269901.0,ALTRES DESPESES VÀRIES.- MEDI AMBIENT,5000.0,,5000.0,3676.3,1323.7,30073.13,,,,,,
,,CM1,4302.0,2269901.0,ALTRES DESPESES VÀRIES.- PEIXATERIA,1000.0,,1000.0,1066.08,-66.08,2989.79,,,,,,
,,CM2,1511.0,2269901.0,ALTRES DESPESES VÀRIES.- URBANISME,3500.0,,3500.0,6540.02,-3040.02,30073.13,,,,,,
,,CM3,1512.0,2269901.0,ALTRES DESPESES VÀRIES.- OBRA PUBLICA,1500.0,,1500.0,2230.25,-730.25,30073.13,,,,,,
,,SG1,9120.0,2269901.0,ALTRES DESPESES VÀRIES.- ORG GOVERN,15000.0,,15000.0,39657.48,-24657.48,9325.45,,,,334.98,,
,,SG1,9270.0,2269901.0,ALTRES DESPESES VÀRIES.- COMUNICACIÓ,5000.0,,5000.0,15132.73,-10132.73,9325.45,,,,,,
,,SG2,9200.0,2269901.0,ALTRES DESPESES VÀRIES.- OAC,700.0,,700.0,,700.0,9325.45,,,,,,
,,SG2,9205.0,2269901.0,ALTRES DESPESES VÀRIES.- RRHH,1500.0,,1500.0,241.05,1258.95,9325.45,,,,,,
,,SG2,9206.0,2269901.0,ALTRES DESPESES VÀRIES.- INFORMATICA,2500.0,,2500.0,2607.8,-107.8,9325.45,,,,,,
,,SG3,4930.0,2269901.0,ALTRES DESPESES VARIES.-CONSUM,2000.0,,2000.0,240.15,1759.85,4678.1,,,,,,
,,SG3,9202.0,2269901.0,ALTRES DESPESES VÀRIES.- SECRETARIA,4000.0,,4000.0,3669.24,330.76,9325.45,,,,,,
,,SG3,9203.0,2269901.0,ALTRES DESPESES VÀRIES.- CONTRACTACIÓ,500.0,,500.0,,500.0,9325.45,,,,,,
,,SG4,9311.0,2269901.0,ALTRES DESPESES VÀRIES.- GESTIO PRESSUPOSTARIA,500.0,,500.0,795.05,-295.05,9325.45,,,,,,
,,SG4,9324.0,2269901.0,ALTRES DESPESES VÀRIES.- G. FINANCERA,2000.0,,2000.0,2188.6,-188.6,9325.45,,,,,,
,,SG5,1300.0,2269901.0,ALTRES DESPESES VÀRIES.- POLICIA,12000.0,,12000.0,15885.74,-3885.74,27632.86,,,,,,
,,SG6,4301.0,2269901.0,ALTRES DESPESES VÀRIES.- COMERÇ,12000.0,,12000.0,12727.9,-727.9,286.78,,,,,,
,,SG7,4304.0,2269901.0,ALTRES DESPESES VÀRIES.- TURISME,10000.0,-6380.0,3620.0,3620.0,,1854.67,,,,,,
,,SP1,1640.0,2269901.0,ALTRES DESPESES VÀRIES.- SANITAT,300.0,,300.0,254.33,45.67,45.67,,,,,,
,,SP1,2304.0,2269901.0,ALTRES DESPESES VÀRIES.- ATENCIO PRIMÀRIA,30000.0,,30000.0,23227.21,6772.79,82631.21,,,,,,
,,SP1,2305.0,2269901.0,ALTRES DESPESES VÀRIES.- MEDIACIO SOCIAL,4000.0,,4000.0,3220.63,779.37,82631.21,,,,,,
,,SP1,2410.0,2269901.0,ALTRES DESPESES VÀRIES.- FORMACIÓ I OCUPACIÓ,25000.0,-14903.05,10096.95,6636.35,3460.6,82631.21,,,,,,
,,SP1,3120.0,2269901.0,ALTRES DESPESES VÀRIES.- RGA,2500.0,,2500.0,3985.43,-1485.43,1610.52,,,,,,
,,SP1,3130.0,2269901.0,ALTRES DESPESES VÀRIES.- SANITAT,2500.0,,2500.0,1786.6,713.4,1610.52,,,,,,
,,SP1,3370.0,2269901.0,ALTRES DESPESES VARIES.-JOVENTUT,9000.0,,9000.0,9077.36,-77.36,1610.52,,,,,,
,,SP2,3210.0,2269901.0,ALTRES DESPESES VÀRIES.- EDUCACIÓ,60000.0,-23319.63,36680.37,44163.35,-7482.98,6435.62,,,,,,
,,SP2,3233.0,2269901.0,ALTRES DESPESES VÀRIES.- ESCOLES MPALS,1500.0,,1500.0,4767.92,-3267.92,6435.62,,,,,,
,,SP2,3323.0,2269901.0,ALTRES DESPESES VARIES.-ARXIU,1500.0,,1500.0,939.75,560.25,6435.62,,,,,,
,,SP2,3344.0,2269901.0,ALTRES DESPESES VARIES.-PROMO. CULT.,16000.0,,16000.0,16324.34,-324.34,6435.62,,,,,,
,,SP2,3346.0,2269901.0,ALTRES DESPESES VARIES.-NORMAL. LING.,400.0,,400.0,,400.0,6435.62,,,,,,
,,SP2,3380.0,2269901.0,FESTES POPULARS.- FESTES,130000.0,-7000.0,123000.0,140313.83,-17313.83,6435.62,,,,,,
,,SP3,3400.0,2269901.0,ALTRES DESPESES VÀRIES.- ESPORTS,10000.0,,10000.0,10393.68,-393.68,28.23,,,,,,
,,SG4,9311.0,2269902.0,ALTRES DESPESES VÀRIES.- FONS DE CONTINGÈNCIA,245018.0,-39636.12,205381.88,,205381.88,205381.88,,,,,,
,,SP2,3323.0,2269902.0,ALTRES DESPESES.- FUNDACIÒ PALAU OLIVER,15000.0,,15000.0,,15000.0,6435.62,,,,,,
,,SP2,3344.0,2269902.0,ALTRES DESPESES VÀRIES.- ENCICLOPÈDIA MENORCA,3000.0,,3000.0,,3000.0,6435.62,,,,,,
,,SP2,3380.0,2269902.0,ALTRES DESPESES VARIES.-FESTES,13000.0,,13000.0,15665.63,-2665.63,6435.62,,,,,,
,,CM1,1690.0,2270001.0,CONTR. SERVEI DE NETEJA EDIFICIS.- C I M.A,700000.0,,700000.0,653798.91,46201.09,30073.13,,,,,,
,,CM1,1610.0,2270301.0,CONTR.SERV.CONCESSIONS.-AIGUA I SANEJ.,1865000.0,,1865000.0,,1865000.0,1865000.0,,,,,,
,,CM1,1620.0,2270301.0,CONTR.SERV.CONCESSIONS.-RSU,2575000.0,,2575000.0,2138249.7,436750.3,30073.13,,,,,,
,,SG5,1300.0,2270301.0,CONTR.SERV.CONCESSIONS.-POLICIA,480000.0,95592.7,575592.7,575592.7,,,,,,,,
,,SP1,1640.0,2270301.0,CONTR.SERV. CONCESSIONS.-CEMENTERIS,250000.0,,250000.0,232895.41,17104.59,17104.59,,,,,,
,,SP2,3323.0,2270301.0,CONTRACT. SERVEIS.- PALAU OLIVER,30000.0,,30000.0,,30000.0,6435.62,,,,,,
,,SP1,1640.0,2270302.0,CONTR.SERV. CONCES.-CEMENT.- RET. CONC.- VINC INGR 32905,226025.0,,226025.0,,226025.0,226025.0,,,,,,
,,SG4,9324.0,2270401.0,DESPESES CUSTODIA I MANTENIMENT C/C,2000.0,,2000.0,5355.0,-3355.0,9325.45,,,,,,
,,CM1,1695.0,2270601.0,CONTR.SERV.ESTUD.TRAB.TEC..- BRIG. OBRES,15000.0,,15000.0,14991.9,8.1,8.1,,,,,,
,,CM2,1511.0,2270601.0,CONTR.SERV.ESTUD.TREB.TEC.- URBANISME,33000.0,,33000.0,11779.35,21220.65,30073.13,,,,1070.85,,
,,CM3,1512.0,2270601.0,CONTR.SERV.ESTUD.TREB.TEC.- OBRA PÚB.,8000.0,5200.0,13200.0,6361.77,6838.23,30073.13,,,,,,
,,SG1,9120.0,2270601.0,CONTR.SERV.ESTUD.TRAB.TEC.- ORGANITZACIO MERCATS PEIXATERIA,,,,11999.12,-11999.12,9325.45,,,,1714.16,,
,,SG1,9270.0,2270601.0,CONTR.SERV.ESTUD.TREB.TEC.-COMUNICAC.,25000.0,,25000.0,17719.1,7280.9,9325.45,,,,,,
,,SG2,9206.0,2270601.0,CONTR.SERV.ESTUD.TREB.TEC.- INFORMATI.,155000.0,,155000.0,158762.37,-3762.37,9325.45,,,,,,
,,SG3,9202.0,2270601.0,CONTR.SERV.ESTUD.TREB.TEC.- SECRETARIA,10000.0,,10000.0,14237.26,-4237.26,9325.45,,,,,,
,,SG4,4302.0,2270601.0,CONTR.SERV.ESTUD.TRAB.TEC.- MERCATS,27000.0,,27000.0,25081.75,1918.25,4678.1,,,,,,
,,SG4,9324.0,2270601.0,CONTR.SERV.ESTUD.TREB.TEC.- TRESORERIA-RECAPTACIÓ,785600.0,,785600.0,762243.79,23356.21,9325.45,,,,,,
,,SG5,1300.0,2270601.0,CONTR.SERV.ESTUD.TREB.TEC.- POLICIA,127000.0,,127000.0,92238.89,34761.11,27632.86,,,,,,
,,SG6,4301.0,2270601.0,CONTR.SERV.ESTUD.TRAB.TEC.- COMERÇ,2000.0,,2000.0,2054.14,-54.14,286.78,,,,,,
,,SG7,4304.0,2270601.0,CONTR.SERV.ESTUD.TRAB.TEC.- TURISME,2000.0,,2000.0,2579.48,-579.48,1854.67,,,,,,
,,SP1,2304.0,2270601.0,CONTR.SERV.ESTUD.TRAB.TEC.- ATENCIÓ PRIMÀRIA,22500.0,,22500.0,19638.33,2861.67,82631.21,,,,,,
,,SP2,3210.0,2270601.0,CONTR.SERV.ESTUD.TRAB.TEC..- EDUCACIÓ,2500.0,,2500.0,1643.77,856.23,6435.62,,,,,,
,,SP2,3323.0,2270601.0,CONTR.SERV.ESTUD.TREB.TEC.- ARXIU,7500.0,,7500.0,14060.63,-6560.63,6435.62,,,,,,
,,SP2,3344.0,2270601.0,CONTR.SERV.ESTUD.TREB.TEC.- PROMO. CUL,21000.0,,21000.0,5639.46,15360.54,6435.62,,,,,,
,,SG2,9205.0,2270602.0,CONTR.SERV. - RRHH.,1000.0,,1000.0,,1000.0,9325.45,,,,,,
,,SG5,1300.0,2270602.0,CONTR.SERV.GRUA- POLICIA,33000.0,,33000.0,17381.1,15618.9,15618.9,,,,,,
,,CM1,1620.0,2279901.0,ALTRES TREBALLS PER ALTRES.- RSU,55000.0,,55000.0,64235.92,-9235.92,30073.13,,,,,,
,,CM1,1720.0,2279901.0,ALTRES TREBALLS ALTRES.- MEDI AMBIENT,80000.0,,80000.0,73317.33,6682.67,30073.13,,,,,,
,,SP1,2304.0,2279901.0,CONTRACT. SERV. ALTRES.- ATENCIÓ PRIMÀRIA,150000.0,,150000.0,101471.68,48528.32,82631.21,,,,,,
,,SP1,2305.0,2279901.0,CONTRACT. ALTRES.- MEDIACIÓ SOCIAL,23000.0,-5187.59,17812.41,,17812.41,82631.21,,,,,,
,,SP1,3120.0,2279901.0,CONTRACT. SERV. ALTRES.- RGA,60000.0,54000.0,114000.0,144622.34,-30622.34,1610.52,,,,7404.0,,
,,SP1,3370.0,2279901.0,"CONTRACT.  SERVEIS, ALTRES.- JOVENTUT CONCERTS",2000.0,,2000.0,2370.8,-370.8,1610.52,,,,,,
,,SP2,3380.0,2279901.0,CONTR. SERV. ALTRES.- FESTES,24000.0,,24000.0,22750.0,1250.0,6435.62,,,,,,
,,SG1,9120.0,2300001.0,DIETES CARRECS ELECTES.-ORG. GOVERN,5000.0,,5000.0,1380.0,3620.0,9325.45,,,,,,
,,SG2,9205.0,2302001.0,DIETES PERSONAL.-RECURSOS HUMANS,2000.0,,2000.0,620.48,1379.52,9325.45,,,,,,
,,SG1,9120.0,2310001.0,LOCOMOCIO.-ORG. GOVERN,3000.0,,3000.0,10974.61,-7974.61,9325.45,,,,,,
,,SG2,9205.0,2310001.0,LOCOMOCIO.-RECURSOS HUMANS,3000.0,,3000.0,3255.27,-255.27,9325.45,,,,,,
,,SG4,110.0,3101101.0,INTERESSOS.  LC - OPERACIÓ DE TRESORERIA,69800.0,,69800.0,56761.61,13038.39,164418.89,,,,,,
,,SG4,110.0,3101801.0,INT. PREST 2002 CAM-  INVERS.  Nº 0253636615,18048.0,,18048.0,5112.51,12935.49,164418.89,,,,,,
,,SG4,110.0,3101901.0,INT. PREST 2003  LC -  INVERS - Nº 30584029822,21450.0,,21450.0,21448.76,1.24,164418.89,,,,,,
,,SG4,110.0,3102001.0,INT.  PREST 2004  BBVA INVERSIONS 974 04357000,83181.0,,83181.0,83180.39,0.61,164418.89,,,,,,
,,SG4,110.0,3102101.0,INT.  PREST 2005 BBVA INVERSIONS 974 05137023,48583.0,,48583.0,48582.34,0.66,164418.89,,,,,,
,,SG4,110.0,3102201.0,INT. PREST2006 BBVA 974-06183571,88490.0,,88490.0,88488.9,1.1,164418.89,,,,,,
,,SG4,110.0,3102301.0,INT  PRESTEC 2006 CASA DE SES AIGÜES  Nº 308.383756-66,4653.0,,4653.0,1898.37,2754.63,164418.89,,,,,,
,,SG4,110.0,3102401.0,INTERESSOS  CIM -  HIPODROM,1841.0,,1841.0,,1841.0,164418.89,,,,,,
,,SG4,110.0,3102501.0,INTERESSOS  PRESTEC INVERSIONS 2007 - LC,27146.0,,27146.0,9558.11,17587.89,164418.89,,,,,,
,,SG4,110.0,3102502.0,INTERESSOS  PRESTEC INVERSIONS 2007 - BBVA,28507.0,,28507.0,6805.09,21701.91,164418.89,,,,,,
,,SG4,110.0,3102601.0,INTERESSOS PREST 2008 LC INV 708776-98,19857.0,,19857.0,5320.56,14536.44,164418.89,,,,,,
,,SG4,110.0,3102701.0,INT. PREST 2009 BBVA,99780.0,,99780.0,99768.51,11.49,164418.89,,,,,,
,,SG4,110.0,3102801.0,INT. PREST 2010 CAJA MADRID,84927.0,,84927.0,44046.89,40880.11,164418.89,,,,,,
,,SG4,110.0,3102901.0,BBVA.- INTERESSOS PRESTEC ICO 2011,26809.0,,26809.0,26809.0,,164418.89,,,,,,
